model,accuracy_diff,observed_consistency,error_consistency,mean_rank
Debenedetti2022Light_XCiT_M12,0.058,0.704,0.248,3.667
Debenedetti2022Light_XCiT_S12,0.054,0.700,0.241,4.667
Debenedetti2022Light_XCiT_L12,0.048,0.711,0.227,5.667
wide_resnet50_2_linf_eps4,0.073,0.677,0.240,7.667
wide_resnet50_2_linf_eps2,0.071,0.680,0.231,8.000
resnet50_linf_eps2,0.076,0.677,0.249,8.333
wide_resnet50_2_l2_eps3,0.074,0.673,0.243,9.000
wide_resnet50_2_linf_eps0_5,0.072,0.680,0.218,10.667
wide_resnet50_2_linf_eps8,0.078,0.669,0.252,13.000
xcit_small_12_p16_224,0.058,0.709,0.195,13.667
resnet50_linf_eps4,0.077,0.667,0.247,14.667
wide_resnet50_2_l2_eps1,0.078,0.673,0.222,16.667
wide_resnet50_2_l2_eps5,0.078,0.664,0.247,18.000
wide_resnet50_2_l2_eps0_5,0.076,0.671,0.207,19.333
wide_resnet50_2_l2_eps0,0.073,0.672,0.192,19.667
resnet50_l2_eps0_25,0.077,0.670,0.209,21.000
resnet50_l2_eps1,0.079,0.669,0.224,21.000
wide_resnet50_2_linf_eps1,0.079,0.672,0.211,21.667
wide_resnet50_2_l2_eps0_1,0.073,0.671,0.189,22.000
wide_resnet50_2_l2_eps0_03,0.075,0.672,0.188,22.000
resnet50_linf_eps0_5,0.075,0.667,0.203,22.000
wide_resnet50_2_l2_eps0_25,0.075,0.670,0.193,22.333
resnet50_l2_eps3,0.079,0.663,0.239,22.333
resnet50_linf_eps8,0.086,0.655,0.249,23.333
resnet50_linf_eps1,0.080,0.666,0.217,25.000
wide_resnet50_2_l2_eps0_05,0.077,0.670,0.189,25.000
resnet50_l2_eps0_5,0.078,0.668,0.203,25.000
resnet50_l2_eps0_05,0.079,0.665,0.197,27.667
resnet50_l2_eps5,0.087,0.649,0.240,28.333
wide_resnet50_2_l2_eps0_01,0.078,0.667,0.181,30.000
resnet18_linf_eps2,0.088,0.649,0.231,30.000
resnet18_linf_eps1,0.086,0.650,0.217,31.000
resnet50_l2_eps0_1,0.083,0.662,0.197,31.667
resnet50_l2_eps0_03,0.082,0.664,0.194,31.667
resnet18_linf_eps0_5,0.086,0.651,0.206,32.000
resnet18_l2_eps0_5,0.088,0.650,0.216,32.667
resnet18_l2_eps3,0.097,0.637,0.228,35.333
resnet50_l2_eps0_01,0.081,0.660,0.185,35.333
resnet18_l2_eps1,0.090,0.645,0.215,36.000
resnet18_l2_eps0_03,0.084,0.650,0.191,36.333
resnet18_linf_eps4,0.098,0.633,0.226,36.667
resnet18_l2_eps0_1,0.089,0.647,0.198,37.333
resnet18_l2_eps5,0.100,0.625,0.224,37.667
resnet50_l2_eps0,0.086,0.654,0.179,38.667
resnet18_linf_eps8,0.110,0.618,0.220,39.333
resnet18_l2_eps0_25,0.092,0.645,0.196,40.000
resnet18_l2_eps0_05,0.089,0.644,0.191,41.667
resnet18_l2_eps0,0.095,0.639,0.186,44.667
resnet18_l2_eps0_01,0.093,0.638,0.179,45.667